number,title,user,labels,state,locked,created_at,updated_at,closed_at,comments
3074,🧐[Question] 网络请求处理的具体步骤是什么,MomentQYC,['question'],open,False,2023-12-08T11:13:09Z,2023-12-08T11:13:09Z,,0
3073,🐛[BUG] 挂时长功能不起作用,TatleCat,['bug'],open,False,2023-12-08T07:08:41Z,2023-12-08T07:09:56Z,,0
3072,🐛[BUG] windows10，更新3.0.0-rc.3后无法开机自动启动,lingfeng01,['bug'],open,False,2023-12-08T04:54:13Z,2023-12-08T04:55:13Z,,0
3069,Bump ref/WinAuth from `a204601` to `29806fd`,dependabot[bot],"['dependencies', 'automatic']",open,False,2023-12-06T23:23:38Z,2023-12-06T23:23:39Z,,0
3068,🐛[BUG] 加速功能一直弹窗host错误,JuNe-rookie,['bug'],open,False,2023-12-06T03:35:16Z,2023-12-06T04:37:43Z,,1
3066,🧐[Question] 2.8.6版本使用正常而3.0rc3完全无法使用,StellarHe,['question'],open,False,2023-12-05T03:19:02Z,2023-12-18T02:41:30Z,,2
3065,Bump actions/setup-dotnet from 3 to 4,dependabot[bot],['automatic'],open,False,2023-12-04T23:24:47Z,2023-12-04T23:24:48Z,,0
3063,🧐[Question] 用了dns劫持模式后 无法上网只能打开微信,Composure17,['question'],open,False,2023-12-03T17:19:31Z,2023-12-03T17:19:31Z,,0
3062,🐛[BUG] 确认交易功能停留在登录窗口,Server-WX,['bug'],open,False,2023-12-03T05:57:51Z,2023-12-06T04:54:20Z,,1
3061,🐛[BUG] 开机时弹窗后闪退,Betrayal0214,['bug'],open,False,2023-12-02T04:47:13Z,2023-12-03T01:42:46Z,,1
3057,👑[Enhancement] 3.0版本增加对win10 磁贴右键更多功能的支持,black-zero358,['enhancement'],open,False,2023-11-30T14:20:25Z,2023-11-30T14:21:20Z,,0
3056,3.0版本管理成就点击后没反应,Ratrme,['bug'],open,False,2023-11-30T11:28:59Z,2024-01-21T03:17:33Z,,2
3053,Bump ref/SteamAchievementManager from `bfcf236` to `caf4e78`,dependabot[bot],"['dependencies', 'automatic']",open,False,2023-11-29T23:17:59Z,2023-11-29T23:18:00Z,,0
3051,🐛[BUG] Github无法加载图片，无法下载Release中的文件,yjc20061008,['bug'],open,False,2023-11-29T10:30:35Z,2024-01-23T03:04:42Z,,20
3050,🐛[BUG] 勾选开启Ubsusoft加速后，Ubsusoft客户端内提示链接互联网失败,Jim-Xu989,['bug'],open,False,2023-11-29T06:35:39Z,2023-11-29T06:39:20Z,,0
3040,🐛[BUG] steam加速后商店黑屏,wuyu3,['bug'],open,False,2023-11-26T12:01:05Z,2023-12-03T15:41:51Z,,13
3038,🐛[BUG] 内存占用高,Ikki-Dai,['bug'],open,False,2023-11-25T16:28:31Z,2023-12-21T02:40:48Z,,13
3037,🧐[Question]历史最低价格查询脚本无法加载使用,Hongjiao1999,['question'],open,False,2023-11-25T15:54:06Z,2024-01-12T12:03:20Z,,1
3036,clipchamp能不能搞个加速节点👑[Enhancement] ,cylaj,['enhancement'],open,False,2023-11-25T13:12:32Z,2023-12-13T11:26:17Z,,2
3034,🧐[Question] 库存游戏筛选游戏，无法正确筛除所有的工具。,WangJie14,['question'],open,False,2023-11-25T12:36:40Z,2023-11-25T12:40:15Z,,0
3033,🧐[Question] steam 加速错误,CharlesLiu146,['question'],open,False,2023-11-25T09:43:07Z,2023-11-25T09:43:07Z,,0
3021,👑[Enhancement] linux下修改hosts时临时使用sudo包装,SmileYik,['enhancement'],open,False,2023-11-23T10:17:39Z,2023-11-27T05:51:06Z,,4
3020,挂卡应用闪退问题,ChocolateSerein,['question'],open,False,2023-11-23T10:06:26Z,2023-11-23T16:13:30Z,,1
3017,Bump nttld/setup-ndk from 1.2.0 to 1.4.2,dependabot[bot],['automatic'],open,False,2023-11-22T23:39:01Z,2023-11-22T23:39:02Z,,0
3016,快速登录跳转页面显示 “错误! Failed to Unknown app version.”,DDLegend,['question'],open,False,2023-11-22T17:12:18Z,2023-11-22T17:12:18Z,,0
3015,🧐[Question] 完全不能加速了,DDKoner,['question'],open,False,2023-11-22T15:22:20Z,2023-11-23T00:09:25Z,,2
3013,🐛[BUG] 网络加速页面存在内存泄露问题,wupgyu,['bug'],open,False,2023-11-21T01:44:02Z,2023-12-07T10:14:19Z,,0
3011,🐛[BUG] 3.0-rc2半透明窗体后会出现windows默认标题栏,qigongBea,['bug'],open,False,2023-11-18T12:13:41Z,2023-11-19T00:19:23Z,,1
3010,🐛[BUG] 客户端错误：目标客户端积极拒绝无法连接（127.0.0.1:26501）,jetray,['bug'],open,False,2023-11-18T05:55:26Z,2023-11-22T17:04:28Z,,1
2998,👑[Enhancement] 希望增加Bing国家版、Win Copilot边栏网络请求的代理,lockmatrix,['enhancement'],open,False,2023-11-11T03:42:43Z,2023-11-11T03:42:43Z,,0
